EP2 - Ciclistas!

Ranking - Rodada 1:
  72o - 0002 
  73o - 0034 
  74o - 0084 
  75o - 0072 
  76o - 0062 
  77o - 0099 
  78o - 0097 
  79o - 0018 
  80o - 0071 
  81o - 0048 
  82o - 0058 
  83o - 0081 

LISTA DELETADA 2
LISTA DELETADA 2

Ranking - Rodada 15:
   1o - 0040 
   2o - 0053 
   3o - 0039 
   4o - 0094 
   5o - 0016 
   6o - 0076 
   7o - 0075 
   8o - 0054 
   9o - 0023 
  10o - 0028 
  11o - 0067 
  12o - 0077 
  13o - 0083 
  14o - 0095 
  15o - 0011 
  16o - 0004 
  17o - 0065 
  18o - 0046 
  19o - 0038 
  20o - 0047 
  21o - 0043 
  22o - 0078 
  23o - 0041 
  24o - 0042 
  25o - 0029 
  26o - 0064 
  27o - 0061 
  28o - 0085 
  29o - 0036 
  30o - 0056 
  31o - 0052 
  32o - 0086 
  33o - 0019 
  34o - 0096 
  35o - 0068 
  36o - 0089 
  37o - 0017 
  38o - 0006 
  39o - 0003 
  40o - 0090 
  41o - 0082 
  42o - 0032 
  43o - 0031 
  44o - 0080 
  45o - 0070 
  46o - 0059 
  47o - 0066 
  48o - 0025 
  49o - 0050 
  50o - 0063 
  51o - 0010 
  52o - 0033 
  53o - 0079 
  54o - 0008 
  55o - 0073 
  56o - 0074 
  57o - 0020 
  58o - 0037 
  59o - 0051 
  60o - 0092 
  61o - 0014 
  62o - 0044 
  63o - 0055 
  64o - 0093 
  65o - 0088 
  66o - 0098 
  67o - 0000 
  68o - 0002 
  69o - 0001 
  70o - 0084 
  71o - 0035 
  72o - 0057 
  73o - 0026 
  74o - 0072 
  75o - 0062 
  76o - 0097 
  77o - 0099 
  78o - 0018 
  79o - 0071 
  80o - 0034 
  81o - 0048 
  82o - 0058 

LISTA DELETADA 2
LISTA DELETADA 2
LISTA DELETADA 2
LISTA DELETADA 2
LISTA DELETADA 2

Ranking - Rodada 16:
   1o - 0040 
   2o - 0053 
   3o - 0039 
   4o - 0094 
   5o - 0016 
   6o - 0076 
   7o - 0075 
   8o - 0054 
   9o - 0023 
  10o - 0028 
  11o - 0067 
  12o - 0083 
  13o - 0004 
  14o - 0046 
  15o - 0038 
  16o - 0078 
  17o - 0043 
  18o - 0041 
  19o - 0029 
  20o - 0064 
  21o - 0061 
  22o - 0085 
  23o - 0077 
  24o - 0036 
  25o - 0086 
  26o - 0056 
  27o - 0096 
  28o - 0095 
  29o - 0089 
  30o - 0011 
  31o - 0017 
  32o - 0090 
  33o - 0006 
  34o - 0082 
  35o - 0032 
  36o - 0059 
  37o - 0065 
  38o - 0070 
  39o - 0047 
  40o - 0050 
  41o - 0042 
  42o - 0063 
  43o - 0010 
  44o - 0033 
  45o - 0079 
  46o - 0008 
  47o - 0073 
  48o - 0074 
  49o - 0020 
  50o - 0052 
  51o - 0037 
  52o - 0019 
  53o - 0092 
  54o - 0044 
  55o - 0068 
  56o - 0055 
  57o - 0088 
  58o - 0003 
  59o - 0000 
  60o - 0001 
  61o - 0031 
  62o - 0035 
  63o - 0080 
  64o - 0057 
  65o - 0066 
  66o - 0025 
  67o - 0051 
  68o - 0014 
  69o - 0099 
  70o - 0093 
  71o - 0098 
  72o - 0002 
  73o - 0084 
  74o - 0034 
  75o - 0026 
  76o - 0072 
  77o - 0062 
  78o - 0097 
  79o - 0018 
